p2_win_pct,decisive_games,draw_overlap_75_99,draw_pct,games_reshuffled,wins_after_reshuffle,p2_win_rate_decisive,p1_wins,config_name,draws,wins_before_reshuffle,timeouts,draw_partial_overlap,draw_p2_stuck_p1_ahead,draw_overlap_0_24,draw_both_stuck,draw_exact_same_pattern,draw_avg_p2_progress,draw_both_low_progress,player2_type,draw_avg_shared_tiles,draw_avg_overlap_pct,player1_type,draw_avg_turns,draw_overlap_exact,draw_avg_p1_progress,total_games,p2_nervousness,draw_overlap_50_74,draw_similar_progress,p1_nervousness,p2_wins,draw_p1_stuck_p2_ahead,draw_overlap_25_49,p1_win_rate_decisive,draw_both_high_progress,reshuffle_pct,p1_win_pct
10.0,2,0,80.0,10,2,50.0,1,neither,8,0,0,0,3,0,2,7,58.16,0,bayesian,5.86,100.0,bayesian,118.0,7,62.24,10,none,0,2,none,1,2,0,50.0,0,100.0,10.0
20.0,4,0,60.0,10,4,50.0,2,p1_only,6,0,0,0,2,0,2,6,55.95,0,bayesian,6.17,100.0,bayesian,118.0,6,59.52,10,none,0,1,10,2,2,0,50.0,0,100.0,20.0
10.0,1,0,90.0,10,1,100.0,0,p1_only,9,0,0,0,3,0,1,9,61.9,0,bayesian,5.0,100.0,bayesian,118.0,9,51.59,10,none,0,1,5,1,5,0,0.0,0,100.0,0.0
10.0,1,0,90.0,10,1,100.0,0,p1_only,9,0,0,1,1,0,0,8,75.4,0,bayesian,6.56,94.44,bayesian,118.0,8,46.83,10,none,1,2,3,1,6,0,0.0,2,100.0,0.0
0.0,2,0,80.0,10,2,0.0,2,p2_only,8,0,0,0,4,0,3,8,41.96,0,bayesian,5.12,100.0,bayesian,118.0,8,67.86,10,10,0,0,none,0,1,0,100.0,0,100.0,20.0
0.0,1,0,90.0,9,0,0.0,1,p2_only,9,1,0,0,2,0,2,8,66.07,0,bayesian,5.5,100.0,bayesian,118.0,8,50.0,10,5,0,2,none,0,4,0,100.0,0,90.0,10.0
10.0,1,0,90.0,10,1,100.0,0,p2_only,9,0,0,0,3,0,4,9,59.52,0,bayesian,4.78,100.0,bayesian,118.0,9,56.35,10,3,0,3,none,1,2,0,0.0,0,100.0,0.0
0.0,0,0,100.0,10,0,0.0,0,both,10,0,0,0,4,0,3,10,59.29,0,bayesian,5.9,100.0,bayesian,118.0,10,52.86,10,10,0,2,10,0,3,0,0.0,0,100.0,0.0
0.0,2,0,80.0,10,2,0.0,2,both,8,0,0,0,3,0,0,8,66.96,0,bayesian,5.0,100.0,bayesian,118.0,8,49.11,10,5,0,1,10,0,5,0,100.0,0,100.0,20.0
0.0,1,0,90.0,10,1,0.0,1,both,9,0,0,0,3,0,3,8,53.57,0,bayesian,4.75,100.0,bayesian,118.0,8,65.18,10,3,0,3,10,0,2,0,100.0,0,100.0,10.0
10.0,2,0,80.0,8,0,50.0,1,both,8,2,0,0,3,0,1,7,53.06,0,bayesian,5.71,100.0,bayesian,118.0,7,62.24,10,10,0,1,5,1,3,0,50.0,0,80.0,10.0
0.0,2,0,80.0,10,2,0.0,2,both,8,0,0,0,3,0,1,8,60.71,0,bayesian,6.25,100.0,bayesian,118.0,8,63.39,10,5,0,2,5,0,4,0,100.0,0,100.0,20.0
0.0,0,0,100.0,10,0,0.0,0,both,10,0,0,0,1,0,2,7,65.31,0,bayesian,5.29,100.0,bayesian,118.0,7,54.08,10,3,0,3,5,0,4,0,0.0,0,100.0,0.0
