opponent_actual_hand,player_actual_hand,opponent_progress,opponent_pattern,p2_nerv,config,overlap_pct,player_progress,player_pattern,p2_type,final_turn,shared_tiles,overlap_category,p1_nerv,p1_type
"Tile[Tile(""3 Character""), Tile(""3 Character""), Tile(""1 Dot""), Tile(""Red Dragon""), Tile(""Flower""), Tile(""4 Character""), Tile(""3 Bamboo""), Tile(""5 Character""), Tile(""8 Dot""), Tile(""Green Dragon""), Tile(""Flower""), Tile(""Green Dragon""), Tile(""5 Bamboo"")]","Tile[Tile(""4 Bamboo""), Tile(""4 Bamboo""), Tile(""4 Character""), Tile(""4 Character""), Tile(""4 Bamboo""), Tile(""Flower""), Tile(""4 Dot""), Tile(""Flower""), Tile(""4 Character""), Tile(""Flower""), Tile(""4 Bamboo""), Tile(""4 Dot""), Tile(""Red Dragon"")]",0.35714285714285715,FF 4444 D 4444 D 44 - Bamboo/Character/Dot,none,neither,100.0,0.8571428571428571,FF 4444 D 4444 D 44 - Bamboo/Character/Dot,bayesian,118,6,100% (Exact),none,bayesian
"Tile[Tile(""4 Bamboo""), Tile(""Flower""), Tile(""2 Bamboo""), Tile(""4 Bamboo""), Tile(""2 Bamboo""), Tile(""Flower""), Tile(""2 Bamboo""), Tile(""Flower""), Tile(""3 Bamboo""), Tile(""3 Bamboo""), Tile(""Flower""), Tile(""Flower""), Tile(""3 Bamboo"")]","Tile[Tile(""2 Bamboo""), Tile(""2 Dot""), Tile(""2 Dot""), Tile(""2 Character""), Tile(""2 Character""), Tile(""Flower""), Tile(""3 Dot""), Tile(""3 Character""), Tile(""Flower""), Tile(""3 Dot""), Tile(""4 Bamboo""), Tile(""3 Character""), Tile(""4 Bamboo"")]",0.5,FF 22 33 22 33 22 33 - Bamboo/Character/Dot,none,neither,100.0,0.7857142857142857,FF 22 33 22 33 22 33 - Bamboo/Character/Dot,bayesian,118,7,100% (Exact),none,bayesian
"Tile[Tile(""East Wind""), Tile(""East Wind""), Tile(""West Wind""), Tile(""West Wind""), Tile(""West Wind""), Tile(""West Wind""), Tile(""East Wind""), Tile(""White Dragon""), Tile(""2 Character""), Tile(""2 Character""), Tile(""North Wind""), Tile(""South Wind""), Tile(""South Wind"")]","Tile[Tile(""3 Dot""), Tile(""3 Character""), Tile(""3 Dot""), Tile(""5 Character""), Tile(""3 Character""), Tile(""5 Character""), Tile(""3 Character""), Tile(""5 Character""), Tile(""Flower""), Tile(""1 Dot""), Tile(""North Wind""), Tile(""2 Character""), Tile(""3 Dot"")]",0.8571428571428571,NN EEE WWW SS 2025 - Character,none,neither,100.0,0.21428571428571427,NN EEE WWW SS 2025 - Character,bayesian,118,7,100% (Exact),none,bayesian
"Tile[Tile(""4 Character""), Tile(""5 Character""), Tile(""5 Character""), Tile(""Flower""), Tile(""4 Dot""), Tile(""Flower""), Tile(""4 Dot""), Tile(""4 Character""), Tile(""4 Bamboo""), Tile(""White Dragon""), Tile(""Green Dragon""), Tile(""7 Character""), Tile(""9 Dot"")]","Tile[Tile(""Flower""), Tile(""Flower""), Tile(""4 Character""), Tile(""4 Character""), Tile(""Flower""), Tile(""4 Dot""), Tile(""4 Bamboo""), Tile(""4 Bamboo""), Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""4 Bamboo""), Tile(""4 Dot"")]",0.5,FFFF 44 444 444 44 - Bamboo/Character/Dot,none,neither,100.0,0.7857142857142857,FFFF 44 444 444 44 - Bamboo/Character/Dot,bayesian,118,4,100% (Exact),none,bayesian
"Tile[Tile(""Flower""), Tile(""Flower""), Tile(""White Dragon""), Tile(""Flower""), Tile(""Green Dragon""), Tile(""White Dragon""), Tile(""2 Bamboo""), Tile(""Green Dragon""), Tile(""3 Bamboo""), Tile(""1 Bamboo""), Tile(""2 Bamboo""), Tile(""Red Dragon""), Tile(""West Wind"")]","Tile[Tile(""Flower""), Tile(""2 Character""), Tile(""2 Character""), Tile(""Red Dragon""), Tile(""White Dragon""), Tile(""Green Dragon""), Tile(""White Dragon""), Tile(""1 Character""), Tile(""Flower""), Tile(""Red Dragon""), Tile(""3 Character""), Tile(""1 Character""), Tile(""3 Character"")]",0.7142857142857143,FF 123 DD DDD DDDD - Bamboo,none,neither,100.0,0.5,FF 123 DD DDD DDDD - Bamboo,bayesian,118,7,100% (Exact),none,bayesian
"Tile[Tile(""5 Bamboo""), Tile(""North Wind""), Tile(""7 Bamboo""), Tile(""4 Bamboo""), Tile(""4 Bamboo""), Tile(""5 Bamboo""), Tile(""4 Bamboo""), Tile(""4 Dot""), Tile(""Green Dragon""), Tile(""1 Bamboo""), Tile(""4 Dot""), Tile(""4 Character""), Tile(""6 Dot"")]","Tile[Tile(""4 Character""), Tile(""Flower""), Tile(""Flower""), Tile(""4 Character""), Tile(""4 Bamboo""), Tile(""White Dragon""), Tile(""2 Bamboo""), Tile(""White Dragon""), Tile(""White Dragon""), Tile(""8 Bamboo""), Tile(""4 Dot""), Tile(""4 Character""), Tile(""9 Dot"")]",0.5,FF 4444 D 4444 D 44 - Bamboo/Character/Dot,none,neither,100.0,0.5714285714285714,FF 4444 D 4444 D 44 - Bamboo/Character/Dot,bayesian,118,6,100% (Exact),none,bayesian
"Tile[Tile(""White Dragon""), Tile(""Flower""), Tile(""Flower""), Tile(""2 Character""), Tile(""2 Character""), Tile(""White Dragon""), Tile(""Flower""), Tile(""2 Dot""), Tile(""2 Bamboo""), Tile(""2 Bamboo""), Tile(""5 Bamboo""), Tile(""Flower""), Tile(""5 Bamboo"")]","Tile[Tile(""2 Dot""), Tile(""Flower""), Tile(""Flower""), Tile(""Flower""), Tile(""2 Dot""), Tile(""2 Character""), Tile(""2 Dot""), Tile(""2 Bamboo""), Tile(""2 Bamboo""), Tile(""Green Dragon""), Tile(""Red Dragon""), Tile(""6 Dot""), Tile(""8 Dot"")]",0.6428571428571429,FFFF 22 222 222 22 - Bamboo/Character/Dot,none,neither,100.0,0.6428571428571429,FFFF 22 222 222 22 - Bamboo/Character/Dot,bayesian,118,4,100% (Exact),none,bayesian
"Tile[Tile(""4 Bamboo""), Tile(""4 Bamboo""), Tile(""5 Bamboo""), Tile(""3 Bamboo""), Tile(""3 Bamboo""), Tile(""2 Bamboo""), Tile(""6 Character""), Tile(""6 Dot""), Tile(""9 Dot""), Tile(""1 Bamboo""), Tile(""2 Bamboo""), Tile(""4 Dot""), Tile(""Green Dragon"")]","Tile[Tile(""6 Bamboo""), Tile(""5 Dot""), Tile(""West Wind""), Tile(""Red Dragon""), Tile(""7 Bamboo""), Tile(""North Wind""), Tile(""6 Bamboo""), Tile(""7 Dot""), Tile(""8 Bamboo""), Tile(""3 Bamboo""), Tile(""2 Bamboo""), Tile(""9 Bamboo""), Tile(""9 Dot"")]",0.9285714285714286,NN EW SS 22 33 44 55 - Bamboo,none,p1_only,100.0,0.14285714285714285,NN EW SS 22 33 44 55 - Bamboo,bayesian,110,8,100% (Exact),10,bayesian
"Tile[Tile(""West Wind""), Tile(""2 Bamboo""), Tile(""North Wind""), Tile(""5 Bamboo""), Tile(""5 Bamboo""), Tile(""6 Bamboo""), Tile(""1 Character""), Tile(""9 Bamboo""), Tile(""White Dragon""), Tile(""East Wind""), Tile(""5 Character""), Tile(""3 Character""), Tile(""5 Bamboo"")]","Tile[Tile(""1 Character""), Tile(""5 Character""), Tile(""1 Character""), Tile(""5 Character""), Tile(""3 Dot""), Tile(""9 Character""), Tile(""7 Character""), Tile(""7 Character""), Tile(""1 Bamboo""), Tile(""3 Character""), Tile(""9 Character""), Tile(""3 Dot""), Tile(""1 Bamboo"")]",0.21428571428571427,11 33 55 77 99 11 33 - Character/Bamboo/Dot,none,p1_only,100.0,0.9285714285714286,11 33 55 77 99 11 33 - Character/Bamboo/Dot,bayesian,118,7,100% (Exact),10,bayesian
"Tile[Tile(""7 Bamboo""), Tile(""5 Bamboo""), Tile(""7 Dot""), Tile(""7 Dot""), Tile(""7 Bamboo""), Tile(""6 Dot""), Tile(""5 Bamboo""), Tile(""5 Dot""), Tile(""7 Bamboo""), Tile(""6 Bamboo""), Tile(""Flower""), Tile(""6 Dot""), Tile(""6 Dot"")]","Tile[Tile(""Flower""), Tile(""7 Dot""), Tile(""Flower""), Tile(""Flower""), Tile(""Red Dragon""), Tile(""6 Bamboo""), Tile(""7 Character""), Tile(""Red Dragon""), Tile(""7 Character""), Tile(""7 Character""), Tile(""Flower""), Tile(""7 Bamboo""), Tile(""Red Dragon"")]",0.42857142857142855,FFFF 77 777 777 77 - Bamboo/Character/Dot,none,p1_only,100.0,0.6428571428571429,FFFF 77 777 777 77 - Bamboo/Character/Dot,bayesian,118,4,100% (Exact),10,bayesian
