p2_win_pct,decisive_games,draw_pct,draw_pattern_overlap,games_reshuffled,wins_after_reshuffle,draw_pattern_overlap_pct,p2_win_rate_decisive,p1_wins,config_name,draws,wins_before_reshuffle,timeouts,draw_p2_stuck_p1_ahead,draw_both_stuck,draw_avg_p2_progress,draw_both_low_progress,player2_type,draw_avg_turns,player1_type,draw_avg_p1_progress,total_games,p2_nervousness,draw_similar_progress,p1_nervousness,p2_wins,draw_p1_stuck_p2_ahead,p1_win_rate_decisive,draw_both_high_progress,reshuffle_pct,p1_win_pct
2.0,34,83.0,155,193,27,93.37,11.76,30,neither,166,7,0,78,29,53.48,0,bayesian,118.0,bayesian,64.47,200,none,38,none,4,47,88.24,2,96.5,15.0
2.5,22,89.0,152,194,16,85.39,22.73,17,p1_only,178,6,0,68,28,56.31,2,bayesian,118.0,bayesian,59.93,200,none,35,10,5,54,77.27,4,97.0,8.5
5.5,39,80.5,141,188,27,87.58,28.21,28,p1_only,161,12,0,53,19,61.03,0,bayesian,118.0,bayesian,55.32,200,none,24,5,11,69,71.79,4,94.0,14.0
3.0,22,89.0,151,192,14,84.83,27.27,16,p1_only,178,8,0,51,30,61.02,0,bayesian,118.0,bayesian,56.12,200,none,40,3,6,69,72.73,3,96.0,8.0
7.0,34,83.0,152,187,21,91.57,41.18,20,p2_only,166,13,0,69,37,51.03,0,bayesian,118.0,bayesian,63.96,200,10,28,none,14,46,58.82,1,93.5,10.0
4.0,28,86.0,165,186,14,95.93,28.57,20,p2_only,172,14,0,80,26,54.24,0,bayesian,118.0,bayesian,62.77,200,5,38,none,8,56,71.43,3,93.0,10.0
5.0,32,84.0,161,183,15,95.83,31.25,22,p2_only,168,17,0,91,26,49.74,0,bayesian,118.0,bayesian,66.7,200,3,32,none,10,45,68.75,1,91.5,11.0
5.0,25,87.5,156,191,16,89.14,40.0,15,both,175,9,0,71,30,57.82,1,bayesian,118.0,bayesian,60.4,200,10,44,10,10,53,60.0,4,95.5,7.5
6.0,27,86.5,157,188,15,90.75,44.44,15,both,173,12,0,70,28,55.41,0,bayesian,118.0,bayesian,60.78,200,5,36,10,12,57,55.56,2,94.0,7.5
3.5,27,86.5,159,190,17,91.91,25.93,20,both,173,10,0,71,26,55.67,0,bayesian,118.0,bayesian,61.12,200,3,32,10,7,60,74.07,3,95.0,10.0
4.5,31,84.5,142,183,14,84.02,29.03,22,both,169,17,0,48,30,60.06,0,bayesian,118.0,bayesian,54.68,200,10,27,5,9,64,70.97,0,91.5,11.0
4.5,28,86.0,136,194,22,79.07,32.14,19,both,172,6,0,54,25,59.94,1,bayesian,118.0,bayesian,57.99,200,5,34,5,9,60,67.86,4,97.0,9.5
